Country Name,Country Code,year_x,hospital_beds_per_1000,year_y,health_workers_pct,year_x,specialist_doctors_pct,year_y,physicians_pct,year_x,handwashing_pct,year_y,population_total
Bangladesh,BGD,2015,0.8,2012,0.47600000000000003,2018,2.91,2018,0.5809,2017,34.8076036069316,2019,163046161.0
Belize,BLZ,2014,1.3,2009,0.503,2014,10.47,2017,1.1229,2017,90.082766643261,2019,390353.0
Bhutan,BTN,2012,1.7,2016,0.069,2014,2.87,2018,0.4242,2014,79.8070433891088,2019,763092.0
Bolivia,BOL,2014,1.1,2001,0.11800000000000001,2012,33.87,2016,1.5901,2017,25.3828990744977,2019,11513100.0
Burkina Faso,BFA,2010,0.4,2012,0.127,2014,0.59,2017,0.0847,2017,11.877389332001,2019,20321378.0
Burundi,BDI,2014,0.8,2004,0.07200000000000001,2018,0.4,2017,0.1001,2017,6.144099368086111,2019,11530580.0
Cambodia,KHM,2015,0.8,2004,0.125,2018,4.2,2014,0.1927,2017,66.2286220956706,2019,16486542.0
Central African Republic,CAF,2011,1.0,2009,0.39299999999999996,2014,0.38,2015,0.0721,2014,16.6029710781771,2019,4745185.0
Chad,TCD,2005,0.4,2004,0.016,2013,0.29,2017,0.0434,2017,5.81809377998824,2019,15946876.0
Early-demographic dividend,EAR,2011,1.2252813069844097,2011,0.42702452919143696,2015,11.7458257001066,2017,0.9740190709711259,2017,59.4813398184822,2019,3290290622.0
Eswatini,SWZ,2011,2.1,2004,3.654,2010,0.17,2016,0.3285,2017,24.0969633445971,2019,1148130.0
Ethiopia,ETH,2015,0.3,2009,0.363,2016,0.54,2018,0.0769,2017,7.96038974707188,2019,112078730.0
"Gambia, The",GMB,2011,1.1,2008,0.725,2014,1.82,2015,0.1021,2017,7.87626629083994,2019,2347706.0
Guyana,GUY,2014,1.6,2010,0.325,2014,8.78,2018,0.8023,2017,77.15941492224421,2019,782766.0
IDA blend,IDB,2004,1.0346837262539899,2011,0.11658960619871199,2015,6.10869690903794,2017,0.7240745534684259,2017,45.8808489347701,2019,561572202.0
India,IND,2011,0.7,2016,0.581,2014,6.82,2018,0.8571,2017,59.549687518251496,2019,1366417754.0
Iraq,IRQ,2014,1.4,2004,0.006,2013,7.64,2018,0.7079,2017,94.5759477772468,2019,39309783.0
Jamaica,JAM,2013,1.7,2016,0.319,2014,11.2,2017,1.3061,2015,66.42451655228611,2019,2948279.0
Liberia,LBR,2010,0.8,2010,0.061,2009,0.6,2015,0.0376,2017,1.18848043978493,2019,4937374.0
Lower middle income,LMC,2011,0.9876033735746229,2011,0.461073000458211,2015,9.522241735251,2017,0.7980824494337709,2017,57.0949105630546,2019,2913363391.0
Malawi,MWI,2011,1.3,2008,0.723,2016,0.43,2018,0.0358,2017,8.703956048183,2019,18628747.0
Maldives,MDV,2009,4.3,2014,1.4240000000000002,2014,4.83,2018,4.5627,2017,95.80286293667591,2019,530953.0
Mali,MLI,2010,0.1,2010,0.006999999999999999,2014,1.05,2018,0.1286,2017,52.2320839184474,2019,19658031.0
Mongolia,MNG,2012,7.0,2010,0.161,2014,45.03,2016,2.8592,2017,71.1795489061304,2019,3225167.0
Mozambique,MOZ,2011,0.7,2013,0.045,2018,0.53,2018,0.0838,2015,12.226983803798499,2019,30366036.0
Myanmar,MMR,2012,0.9,2012,0.195,2013,2.42,2018,0.677,2017,79.287085479675,2019,54045420.0
Nepal,NPL,2012,0.3,2004,0.684,2014,2.96,2018,0.7486,2017,47.7818400003274,2019,28608710.0
Nigeria,NGA,2004,0.5,2008,0.128,2014,1.37,2018,0.3806,2017,41.948915330675895,2019,200963599.0
Pakistan,PAK,2014,0.6,2015,0.087,2014,5.53,2018,0.9801,2017,59.6069124587634,2019,216565318.0
Rwanda,RWA,2007,1.6,2004,1.359,2016,0.75,2018,0.134,2017,4.61727834496984,2019,12626950.0
Senegal,SEN,2008,0.3,2016,0.0,2011,1.05,2017,0.0691,2017,24.1458760766427,2019,16296364.0
Sierra Leone,SLE,2006,0.4,2010,0.023,2012,0.13,2011,0.0251,2017,19.2751381624786,2019,7813215.0
South Africa,ZAF,2005,2.8,2004,0.192,2014,11.42,2017,0.9054,2017,43.9925735928541,2019,58558270.0
South Asia,SAS,2011,0.6742618345070739,2011,0.513904191364302,2015,6.07994297101485,2017,0.835976883474639,2017,56.704852324673794,2019,1835776742.0
South Asia (IDA & IBRD),TSA,2011,0.6742618345070739,2011,0.513904191364302,2015,6.07994297101485,2017,0.835976883474639,2017,56.704852324673794,2019,1835776742.0
Sudan,SDN,2013,0.8,2004,0.151,2014,2.67,2017,0.2618,2017,23.4373649642129,2019,42813238.0
Thailand,THA,2010,2.1,2000,0.059000000000000004,2014,13.09,2018,0.805,2017,83.9233581954672,2019,69625582.0
Timor-Leste,TLS,2010,5.9,2004,0.01,2016,0.9,2018,0.7224,2017,28.178228837772398,2019,1293119.0
Uganda,UGA,2010,0.5,2005,0.19399999999999998,2016,1.05,2017,0.168,2017,21.2224894594787,2019,44269594.0
Vanuatu,VUT,2008,1.7,2008,0.941,2016,3.2,2016,0.1653,2017,25.2091496960843,2019,299882.0
"Yemen, Rep.",YEM,2014,0.7,2010,0.001,2014,0.82,2014,0.5251,2017,49.5423544284257,2019,29161922.0
Zambia,ZMB,2010,2.0,2008,0.287,2016,1.48,2018,1.1867,2017,13.938080013633598,2019,17861030.0
